trackID,genreID
27,173467
88,146792
116,279143
120,8400
224,33204
257,176858
332,208198
338,34486
407,196528
485,146792
565,131552
596,242383
678,199606
679,33722
733,158282
734,278302
737,17453
767,201738
775,172023
862,275144
948,131552
973,133159
1023,11688
1061,287681
1177,278302
1205,33722
1270,161649
1343,161601
1369,279143
1393,201738
1408,88853
1415,219193
1445,48505
1592,158282
1608,201738
1616,181653
1659,77904
1681,173467
1843,61215
1880,17453
1898,48505
1921,142021
1940,17453
1971,287681
1984,61215
2029,211809
2032,18161
2078,88853
2110,131552
2116,34486
2146,155788
2172,198263
2191,176858
2272,81520
2349,61215
2522,34486
2587,31567
2609,173180
2641,274088
2643,131552
2687,199606
2704,61215
2707,212410
2777,158282
2873,228419
2882,172023
2911,133159
2935,146103
2936,207648
2998,61215
3002,189467
3048,172023
3050,33722
3113,61215
3132,242383
3158,61215
3163,214765
3169,34486
3180,33722
3206,131552
3251,61215
3313,131552
3349,81520
3355,176858
3450,131552
3496,199606
3518,212410
3766,103715
3812,158282
3837,34486
3850,172023
3900,51420
3919,181006
3940,274088
3957,27110
4077,224280
4136,173467
4141,274088
4169,208198
4183,133159
4183,159815
4200,268304
4217,17453
4268,88853
4273,18161
4287,88853
4298,98856
4310,61215
4315,172023
4365,173467
4365,154024
4394,88853
4449,88853
4460,176858
4551,131552
4592,201738
4615,34486
4640,274088
4653,33722
4673,139095
4808,131552
4824,33204
4855,176858
4903,88853
4966,48717
5033,266073
5046,61215
5149,61215
5164,82064
5169,61215
5173,61215
5249,133159
5260,61215
5278,287681
5299,61215
5317,131552
5337,251593
5339,35389
5345,17453
5392,3969
5439,34486
5469,142021
5471,162673
5501,88853
5548,35389
5636,173467
5694,253120
5738,61215
5740,131552
5749,216462
5768,244713
5785,34486
5830,279143
5830,173655
5899,274088
6014,77904
6064,199606
6146,131552
6169,293688
6213,287681
6328,34486
6339,48505
6370,35389
6391,34486
6464,17453
6478,224280
6522,201738
6547,150385
6550,205389
6577,207481
6764,82378
6778,198263
6803,181653
6811,61215
6823,256783
6898,33722
6985,34486
7047,37405
7050,34486
7052,198263
7060,61215
7119,176858
7153,88853
7174,162673
7220,30949
7247,131552
7256,48505
7262,61215
7272,77904
7296,91653
7407,34486
7423,35389
7432,61215
7461,48505
7473,61215
7525,173467
7531,91653
7549,48717
7559,33722
7572,61215
7630,176858
7657,176858
7667,131552
7673,77904
7737,206269
7758,173467
